OPIS Truckstop ID,latitude,longitude,Retail Price
7,36.5423,-95.222,3.00733333
9,43.9879,-90.4999,3.28733333
20,32.9662,-112.7154,3.899
28,35.3495,-94.3695,3.399
35,40.926,-75.0945,3.079
36,38.739,-78.651,2.899
44,30.8103,-97.6144,2.919
46,32.4077,-85.9413,3.154
49,38.9476,-85.8911,3.959
50,41.2369,-95.8516,3.72566666
56,46.813878,-100.2915,3.51566666
75,38.4689,-107.859,3.424
77,38.5691,-75.5689,3.229
79,39.6681,-75.5697,3.249
81,27.5269,-82.5258,3.439
85,39.7646887,-105.600337,3.459
91,33.5545,-82.8966,3.499
105,43.3706,-83.8827,3.3373333333333335
118,35.3547,-109.0527,3.299
121,32.747,-111.5992,3.474
127,37.8397,-87.5798,3.609
128,39.1205,-88.5509,3.4323333333333337
135,41.4168,-90.0087,3.4756666666666667
147,40.1187,-85.5567,3.624
149,41.0888,-85.1436,3.59233333
151,40.9242,-100.154,3.13233333
159,30.3322,-81.6749,3.859
160,30.4743,-90.9593,3.23233333
164,41.5729,-87.2599,3.809
167,41.3247,-87.2018,3.43566666
174,31.6134,-94.6528,2.859
184,41.2369,-95.8516,3.719
186,44.2645,-104.9476,3.239
187,42.763,-93.3658,3.23233333
191,43.1347,-93.374,3.18566666
192,41.5004,-94.3182,3.099
195,35.153,-90.1996,3.36733333
198,40.5505,-103.2746,3.299
199,38.8136,-97.6143,3.80566666
203,41.5483,-87.4588,3.814
207,39.0071,-83.802,3.56566666
216,30.4082,-88.7861,3.41566666
217,38.8136,-97.6143,3.02566666
231,37.3654,-84.3401,2.999
235,29.178,-82.1511,3.385666665
240,30.4456,-91.2098,3.039
243,41.1308,-87.439,3.179
244,30.2365,-92.193,2.98233333
248,30.0687,-89.9288,3.729
250,38.8821,-99.3221,3.499
253,35.153,-90.1996,3.32566666
256,39.6969,-79.1528,3.899
257,47.5022,-111.2996,3.63566666
263,41.9396,-86.5652,3.559
267,37.7611,-100.0182,3.399
269,41.9155,-83.3849,3.379
278,38.9608,-87.4014,3.499
281,39.2964,-85.9502,3.399
289,38.9597,-95.2642,3.229
292,37.269,-95.5536,3.23233333
293,38.1596,-96.5623,3.25566666
304,42.1155,-72.5395,3.599
309,39.1235,-94.7443,3.199
323,41.1292,-101.7211,3.46566666
326,41.4148,-112.0448,3.749
341,29.9032284,-81.4145468,3.469
347,41.5856,-87.1797,3.99066666
358,42.1014,-75.9093,3.724
361,30.3322,-81.6749,3.31566666
368,43.196027,-79.1128169,3.774
372,41.6168,-87.4909,3.999
381,31.9642,-95.2617,2.91566666
387,32.5995,-114.5491,3.489
388,40.2485,-82.8806,3.719
391,41.0207,-81.8671,3.699
403,39.9644,-82.4898,3.429
407,41.5377,-83.6413,3.499
421,35.4676,-97.5136,3.30233333
424,35.4802,-97.2666,2.899
425,32.536,-82.928,3.299
442,42.1025,-102.8766,3.324
455,37.9287494,-77.4558151,3.26566666
456,41.1287,-84.8503,3.399
458,40.4109,-95.5332,3.399
460,33.9245,-81.3928,3.079
461,33.4928,-80.8671,3.26233333
469,37.4752,-105.877,3.259
474,32.4267,-88.51,3.299
478,48.9669,-97.2475,3.299
483,36.6903,-101.4774,2.97566666
486,27.5625,-99.4874,3.299
489,46.975,-109.6949,3.749
491,36.081816,-84.0539821,2.999
496,35.9692,-83.9496,3.439
509,31.0407,-104.8341,3.649
522,39.9832,-81.46,3.179
523,34.2902,-83.8294,3.26566666
525,33.6064,-88.6572,3.059
546,41.4305,-86.8926,3.499
557,41.3482,-89.1371,3.429
559,34.8522,-92.4,3.20733333
566,41.5905,-87.3473,3.83066666
567,32.747,-111.5992,3.459
572,41.0888,-85.1436,3.8890000000000002
576,30.246,-92.5135,3.624
578,45.5372,-122.3955,3.779
579,41.5947,-109.2209,3.67066666
586,46.2068,-119.7663,4.479
588,33.1923,-87.4543,2.964
591,38.9878,-93.5683,3.22566666
599,41.1341,-102.9681,3.50066666
602,43.6353,-72.2531,3.599
614,42.8941269,-74.4099745,4.359
628,41.8007,-80.9461,3.15233333
629,53.5462055,-113.491241,4.4007354649999995
636,44.6272,-123.0965,3.379
651,35.872,-88.1449,2.98566666
652,35.9692,-83.9496,3.42566666
659,50.3481989,-113.770256,4.563321978333334
669,31.9185,-106.6006,3.499
672,39.8515,-75.1988,3.549
680,45.3056,-97.0391,3.20566666
684,42.162005,-78.975317,4.499
689,37.6895,-97.3443,3.499
692,41.0195,-92.4186,3.399
739,38.5578,-82.8191,3.649
748,40.366,-104.739,3.17233333
